sen_id,derived_word,stem,suffix,non_words,sentence,int_area,inv_loc,stem_freq,whole_word_freq,lsa_score,condition,question,question_id,cor_response
1,civility,civil,ity,cimality,The lawyer didn't have the civility to use the doorknocker when he arrived.,6,"528, 354",813,28,0.85032,high_lsa_low_freq,Did the lawyer behave respectfully?,TRUE,yes
2,sincerity,sincere,ity,minferity,She wrote in her notebook with complete sincerity about all sorts of things.,8,"749, 354",305,102,0.490683,low_lsa_high_freq,NA,FALSE,NA
3,contender,contend,er,contesher,The close contender won a goldfish for his efforts. ,3,"239, 354",48,49,0.86413,high_lsa_low_freq,NA,FALSE,NA
4,pretender,pretend,er,stevenser,The silly pretender sustained an injury to her hamstring after faking one. ,3,"239, 354",2056,94,0.840585,high_lsa_high_freq,NA,FALSE,NA
5,separateness,separate,ness,poparactness,Her experiences made her feel a separateness from her peers.,7,"614, 354",1107,7,0.712596,high_lsa_low_freq,Did she feel different from her peers?,TRUE,yes
6,rudeness,rude,ness,rugeness,The evident rudeness of that crewman may be a problem.,3,"273, 354",1125,43,0.56882,low_lsa_low_freq,NA,FALSE,NA
7,joyful,joy,ful,jaxful,That morning even the most joyful policeman was dismayed by the events.,6,"528, 354",1456,76,0.478799,low_lsa_high_freq,NA,FALSE,NA
8,poacher,poach,er,reinter,The swift poacher cut the animal's windpipe. ,3,"238, 354",17,26,0.810855,high_lsa_low_freq,NA,FALSE,NA
9,masterful,master,ful,patterful,The experienced streetcar operator had masterful knowledge of his trolley.,6,"731, 354",4450,20,0.735689,high_lsa_low_freq,Is the streetcar operator a competent worker?,TRUE,yes
10,payment,pay,ment,pabment,She received his payment for painting a pinstripe on the suit.,4,"357, 354",12985,538,0.484679,low_lsa_high_freq,NA,FALSE,NA
11,clarification,clarify,ion,drarification,The boy requested clarification from the caveman about their plans.,4,"375, 354",114,30,0.415897,low_lsa_low_freq,NA,FALSE,NA
12,broiler,broil,er,shulker,The chef cooked the seafood under the broiler until it was crispy. ,8,"714, 354",15,10,0.725006,high_lsa_low_freq,NA,FALSE,NA
13,selective,select,ive,setactive,The common firefly is very selective when choosing a mate.,6,"529, 354",180,60,0.864551,high_lsa_low_freq,Is firefly selective when choosing a mate?,TRUE,yes
14,luminosity,luminous,ity,lumibacity,It is true that candlepower is a measure of the luminosity of a lightbulb.,11,"884, 354",39,2,0.552656,low_lsa_low_freq,NA,FALSE,NA
15,brightness,bright,ness,crightness,The glowing brightness of the cherries made the fruitcake look appetizing. ,3,"272, 354",2265,30,0.569412,low_lsa_low_freq,NA,FALSE,NA
16,competitive,compete,ive,corrititive,The models were very competitive about their waistline size.,5,"427, 354",432,214,0.506276,low_lsa_high_freq,NA,FALSE,NA
17,flexibility,flexible,ity,chimirility,The workers tested the flexibility of the replacement floorboard before installing it.,5,"460, 354",136,50,0.461795,low_lsa_low_freq,Does the flexibility of the replacement floorboard need to be tested before installing?,TRUE,yes
18,constructive,construct,ive,constristive,Her ragtag team of employees were no longer constructive in their criticism.,9,"818, 354",74,111,0.914581,high_lsa_high_freq,NA,FALSE,NA
19,crateful,crate,ful,crostful,For his coffeepot he bought a crateful of freshly ground beans.,7,"578, 354",209,1,0.847473,high_lsa_low_freq,NA,FALSE,NA
20,handful,hand,ful,hainful,He grabbed a handful of candy in the boathouse that night.,4,"290, 354",14262,291,0.812923,high_lsa_high_freq,NA,FALSE,NA
21,casualness,casual,ness,didaagness,The unexpected casualness of her outfit was inappropriate. ,3,"324, 354",373,1,0.721633,high_lsa_low_freq,Was her oufit deemed inappropriate?,TRUE,yes
22,drinkable,drink,able,snankable,"According to folklore, the water served on an aircraft is not drinkable at all.",12,"1125, 354",12617,4,0.486828,low_lsa_low_freq,NA,FALSE,NA
